anchor,line,neg_response
"So, I'm the only one who has a pRoblem when someone whose duty's to protect our country blowing","Blowing the whistle is honorable precisely because it's not dutiful. Sorry, you said blowing. Maybe you were going somewhere else with that.","Our daughters in danger, and youre worried Im speaking too loudly!"
He anonymously downloaded a computer file from a secure page and uploaded it to an unsecure page. Not exactly storming Omaha Beach. The EEG was normal because he was faking it to avoid going to prison.,Let's treat him with not medicine.,He beat the computer.
reaParkng for the pills Give those back.,Why? You got 28. You can share.,I dont want return.
"He's not contesting the treason charges. If his code of honor is that strong, he's not gonna bother faking symptoms.",tossing the Tic Tacs onto the table Pleading guilty is not honorable. It's just stupid.,"Oh, yes. In fact, he said, Im fine, I dont care. And he in no way said it in a manner which would lead one to believe that he was covering up feelings of anguish and betrayal."
No pain when he swallows.,What is honor? Dying for your country? Getting straight As? Killing your daughter because she had the audacity to get raped?,Ka. Ka? What does ka mean?
Pancreatitis. Gallstones obstructing his pancreatic duct.,getting up and going to the minifridge People define honor as whatEver makes them feel honorable. It's a circle going nowhere. Which I guess is what circles do.,"A delivery guy will deliver a box of pens, and you just make sure everythings in order."
holding out a paper to House I need your signature on this order. The Army's leaning on Foreman to make sure this is done by the book.,Didn't need an order for his last treatment.,Oh boy. Can you get every department heads signature on this so I can back this up to corporate?
This last treatment wasn't a treatment.,Forge it.,Now it isnt.
There's nothing wrong with him. House.,Shh. I'm with a Patient.,"If youre implying that Id have some problem with him moving into my room, youre wrong."
Shh. I'm with a Patient.,Sleep study.,I stole.
picking up a pill bottle and reading the label You drugged him?,looking at Wilson I didn't say the study was voluntary.,"Yes, absolutely. Now theyre doing that phony linkarmdrink thingy. I totally taught him that."
putting his hands on his hips I think you're sick.,"What, 'cause I'm sleeping in the clinic like I always do?","Oh no, nonono, thats not, not, not, what he is doing."
Slow reaction time.,Because I just woke up from sleeping in the clinic like I always do.,My father always said I was a slow learner.
Because I just woke up from sleeping in the clinic like I always do. You're forgetful.,Sorry. What did you say?,"Because, you know, you dont have to."
You forgot that we were supposed to have lunch.,"I didn't forget. I was sleeping, in the clinic","You know what, guys, lets just enjoy lunch."
I'd like to run some tests.,For what? Where's this coming from?,Lesley I would like to propose an experiment.
Hepatic encephalopathy. I've watched you destroy your body with Vicodin for years. I'm surprised your liver's lasted this long. I'll do the examination myself.,"While having you juggle my jewels sounds interesting, there's no such thing as friends with benefits. It always gets weird.","Apologies. I have a Flea Bottom accent, I know. But Jon Snow is King in the North, Your Grace. Hes not a lord."
"No, I don't.",You're forfeiting? 'Cause if you can't play the game and work!,"Yeah, yeah, well be right there."
No history of anemia.,She's right. You're an idiot. Try again.,Im really nervous.
"Where I come from, this is called cheating.",Where's that? Stickford-upon-anus?,Youre cheating. Youre cheating on me.
PPD's negative. Could be bru,Don't interrupt Dr. Taub.,We got a maybe.
Brucellosis. to House about the game they are playing You just took out a family of four.,"They were clearly armed insurgents, and anyone who claims or proves otherwise is a traitor. No rash or back pain.","Well, theyre not running away screaming, so, no."
"You defend the Patient for being a whistleblower, then attack him for being an honorable whistleblower. Now you defend him for being a maligned, honorable whistleblower?","Adjectives matter. Hate nurses, love naughty nurses. Taub, pitch again.",Well unfortunately immunity or something being off the record does not really exist in the workplace.
I've pitched like five,It's your turn.,"Hey, I came up with that and hmm."
referring to the game Yes!,"Taub, pitch again. Now.","Oh! What a game, huh?"
talking fast The nodules in his spleen were granulomas. He's got sarcoidosis!,Someone tell him he's wrong.,"Yeah, you too."
jumping up jubilantly Yes! Yes!,"plopping down on the couch Sarcoidosis it is. Treat with steroids. Then come right back here, 'cause I'm not gonna rest until I've made orphans of all your virtual Parkldren.","Yes! Im in a good mood today! Im excited to meet all the new people and to see my old friend again, definitely. Thats always a thing that makes people happy... to have an old friend back."
"The Patient was refusing treatment because of honor, and his brother is refusing to be his conservator because of honor.","Oh, good. Taub's cured the Patient.","Well, its not a clinical term."
I had to go to the bathroom.,Bathroom's that way. You just ran in from that way.,"Well, I sure as hell wasnt going to bring it up before sex, and during, I was trying to remember what I read on google, so"
I'm not lying. It's out of order.,I beliEve you. I'm gonna fix it.,You are out of order.
What if we aerosolize steroids and blast the room?,Speaking of which!,And turn the bedroom floor into an amniotic Slip n Slide.
Speaking of which!,It'd be too hard to get the prednisone concentrations right. No one fixes anything unless they have a compelling reason.,"Yeah, which, which we have to leave for in exactly twelve minutes."
It'd be too hard to get the prednisone concentrations right. No one fixes anything unless they have a compelling reason.,"If we're gonna treat, we have to give him a compelling reason, something that he wants more than an interview. loudly Fire in the hole!",And they live together and shower together and have naked pillow fights?
It's completely cyanotic. This isn't sarcoidosis.,Cholesterol embolization.,Leaking? Whats leaking?
Are you Even gonna acknowledge what we just told you?,"That you pilfered my poo-poo? Yeah, I was thinking, it would be less awkward for all of us if we could just pretend that nEver happened.","Listen, I dont know what you guys are talking about, but I guess Ill just accept your apology so we can get on with our day."
It's not an embolization. No instrumentation inside the arteries.,Thank you for getting us back,"Oh, no no, that side doesnt have one, the paramedics had to cut through it."
"And if we start you on treatment now, get you off Vicodin",What's the opposite of thank you? I'm pretty sure it ends in you. I know my body. I'm fine. Methemoglobinemia.,"Oh, yeah, why not?"
"If you're not sick, then our test, accurate 99.5% of the time, yielded a false positive, three separate times. The odds of that are in 1 in 8 million.",The test is accurate. The diagnosis isn't. Sample was obviously contaminated with other foods interacting with my liver enzymes. Now could we talk about the sick Patient?,Of course Im right What are the odds Id be wrong twice in one week?
If we had a Patient file with the same symptoms you're exhibiting!,"And the symptoms I'm not exhibiting? Jaundice, ascites, fetor hepaticus.",I... I dont think I can do that.
You'd still diagnose hepatic encephalopathy. I know that because four doctors you trained have unanimously diagnosed you with hepatic encephalopathy.,Park's right. Treat the Patient with Heparin.,This is so amazing.
"And until we do, there's no reason to do anything more than what we've done.","Blurry vision! headache, a bit of nausea, and dizziness. I am com-pletely baffled.",Right. Listen to me. We cant do anything until you do your part. So get up in front of this whiteboard and do it.
I only had eight beers. Sophomore class pong tournament's in a week. I'm working on my tolerance.,Hop on one foot and sing the iCarly theme song. Like you don't know it.,When I was in college I used to get wicked hammered.
Hop on one foot and sing the iCarly theme song. Like you don't know it.,"Damn it, Man. Can't you see I'm doctoring?",Sing Soft Kitty to me.
"Damn it, Man. Can't you see I'm doctoring?","If you want to talk to me, you can buy me a sandwich in an hour.","Okay, so the recipe says we need a mixing bowl"
Or I could just hover here until you're done.,Heard enough.,Come on. Click the mouse with me.
"Heard enough. Just nEver could figure out the breathe air part. Next year, stick to whiskey. Or at least stay away from week-old green beers. A lot less likely to contain tartrazine-laced green food dyes for which you apparently have an intolerance. Once you break the seal, it'll be out of your system in 48 hours.","What are my choices here? If I tell you I'm fine, you won't beliEve me.","Ooh, yeah. Mustve been some sort of mixup there. You could just drink it, or I could drive all the way back?"
I've scheduled a liver function test.,"If I ignore you, then you'll just ignore my ignoring. Which is rude, frankly.","Well, she sounds like an interesting woman."
"Depending on the results, we'll customize a treatment plan.","If I tell you I think I'm sick and I need your help and we need to set up a time to talk about it, you'll just assume I'm lying.",I just needed you to want to marry me because you wanted to marry me.
"Why is it that you can find the smallest thing wrong with anyone else, but when it comes to you!","I really don't have a choice here, do I?",And then I say one little thing and I end up being the bad guy!
"No, you don't.",to the MP I'm on the list. referring to Wilson But he's not.,lve heard his wolf killed a dozen men and as many horses.
You can't ignore me forEver.,"Well, if you're right, that's not gonna be all that long.","Hey, uh, you can ignore that."
"Well, if you're right, that's not gonna be all that long.",to the MP who is searParkng him Do it slow.,"Well, how long do you think itll be?"
Who are you?,"Well, considering the only people allowed in this room are your doctors and your family! I'm your long-lost cousin Ralph. So glad to finally meet you.",What do you two talk about?
Are you gonna check on me?,It's gonna be at least two hours until we can tell if the Heparin's working.,Youre gonna keep an eye on us?
Then what are you doing here?,"You know, my father taught me that it's dishonorable to interrupt someone when they're reading.",You must be very proud of your son.
Honor's not a punch line. Get out of my room.,So was it worth it?,l didnt say it was your honor.
Justice for 34 deaths outweighs anything the Army can do to me.,They got justice? Do they know that? What if only ten people had died? Four?,"Im not fighting for justice if I dont serve justice to murderers in my ranks, no matter how highborn."
Even one civilian death!,What if they just maimed a few guys? Would that have been worth it?,Have you ever seen a war where innocents didnt die by the thousands?
"My job was to log that tape, get all the details in the official record. After the tenth time of watParkng it, I stopped trying to convince myself that the shovel could have been mistaken for a gun. 'Cause all I could see were the victims' faces. All I was doing was trying to read that kid's lips to make out his last words. I couldn't sleep. Couldn't eat. Think I like the cue ball look? My hair turned gray in three days. My body was telling me I had to do whatEver I could to make sure that something like this nEver happened again.",Your hair turned gray in three days.,You did a fine job.
Your hair turned gray in three days.,"Loss of hair color indiCates an autoimmune condition, likely Grave's disease. Hyperthyroidism leads to a hypercoagulable state, which causes thrombosis. Start him on antithyroids.","Besides, I dont need six hours of your hair is different, why did you change your hair?"
"You want to reject our current diagnosis because he had a few gray hairs, panicked, and shaved his head?",I want to reject our current diagnosis because I think we're wrong. And treating for wrong diagnoses can result in side effects like death.,"Yes. Thats what a rational person does when his entire lifes work is invalidated by a postpubescent Asian wunderkind. He ceases his fruitless efforts, he donates his body to scientific research, and he waits to die."
"Even if he did full go gray, stress seems way more likely than Grave's.","I haven't read any journal articles proving that veterans have a higher incidence of depigmentation. Of course, that could be the hepatic encephalopathy talking.","So, where is it?"
Our treatment for Bernard Soulier hasn't had time,So you all just want to ignore the new symptom?,"Dr. Farber, Bobby Rush is here for his adjustment."
"It's not Grave's because it's not a symptom at all. And the antithyroids you want could reduce his blood pressure and his ability to breathe. Which can result in side effects, like death.",to the cashier Small soda. Grave's it is. Start him on antithyroids.,"Well, because she loves you and because you love her."
It's not Bernard Soulier.,"Bold move. You've gone from speculating I'm sick, to acting like I'm dead.",Thats actually Master of Ceremonies Bernard.
"We acted like we don't trust your judgment, because we don't trust your judgment.",Why don't you start by not trusting your own.,"Oh yeah. I actually liked you guys. But it doesnt matter, because what you did was wrong."
to House Talk to you for a minute?,"Anything you have to say to me, you can say to them. It's only fair. Cause",Can I just talk to you for one quick second?
"Until you receive a clean bill of health, I'll be authorizing all treatment orders.","Well, I would say that that was an incredibly stupid mistake but apparently I'd have to clear that opinion through Foreman first.","Okay, this is the match that decides it all."
Unlikely without pneumonia.,Taub. Loyalty issues in his personal life. Makes sense that they'd cross over into his professional one.,"Is it because of the conflict that arises from your desperate need to pairbond with a woman, and the apparent collective decision of all womankind to deny you that opportunity?"
I was hoping we can get a diagnosis before the witch hunt.,The Patient's infection is an inherently less interesting puzzle than the stab wound to my back.,Kings and queens never bet on the games.
Patient isn't in enough pain.,No. I don't mean about dengue. I have no idea. Taub's only confessing because he wants us to focus on the Patient.,"All right, hurry up and close the door so they cant hear us."
I told Foreman. I did.,The next person to confess is fired. Or Spartacus.,I told that guy who answered your phone.
"For clarification, no one's getting fired. Who else has a pitch?",And then!,"Honestly, I dont think Michael has the slightest clue of who hes gonna fire."
You threatened to fire the next person who,And it's malaria.,Just nod and smile.
"No, it's not. The Army issues anti-malaria medication.",And has done for ten years.,"But if not, theres always the army."
Cover for intra-abdominal sepsis and treat with antimalarials.,to Foreman And was I also right that it was a stupid idea?,"Honey, you have nothing to prove."
He couldn't have faked it. We tested your,I took St. John's Wort to alter the way my liver metabolized acetaminophen. Then some n-acetylcysteine just to finish it off.,"Oh, and I promise, I will not fake it this time."
You tortured them to torture me just to see who you could trust?,"I did it to save lives. God, I wish I could rationalize that one.","Yes. I served them, the men who were torturing you. I did what they told me and waited for the right moment."
And now you're going to brilliantly deduce which one of us is the rat?,What makes you think I haven't already?,"Oh, thank god, its not Mitzi."
What makes you think I haven't already?,To be continued. I need to brilliantly cure a Patient.,"All right, thats enough jail talk."
To be continued. I need to brilliantly cure a Patient.,No hair usually means no lice.,"Oh, um, I dont know if thats a good idea."
It proves I still have my honor.,You're not doing this for honor. You're doing this to please your father. And the pathetic thing is that the Man you're trying to please nEver existed.,It reminds me of where I come from and where I am now.
You're not doing this for honor. You're doing this to please your father. And the pathetic thing is that the Man you're trying to please nEver existed.,"Traitor. You've been avoiding me for two days. 'Cause, when I stranded you behind the barricades, you went straight to Foreman.","Oh. After all thats happened... it sounds strange, I know, but I am... I havent even given any thought to it, what comes next. It would be a great honor, of course. But I will have to speak to my father about it."
I've been avoiding you because you're an ass.,"I've been an ass my whole life, I can't get rid of you.",Youre always picking on me and now you got someone to kiss your ass!
You can get rid of me now. Just turn and limp away.,Huh. Your whiny righteousness has the stench of sincerity. Fine. I have to punish my whole team so that one of them will step forward.,"Uh, actually, I already found an apartment, so in a couple of days."
I have to punish my whole team so that one of them will step forward. Makes sense.,sighing Damn. Now I'm gonna have to punish my whole team so that one of them will step forward.,"I dont see what that gets us, but Im a team player."
You just said that.,"Yeah, but I meant it this time. First time I was just testing you. Either you were gonna genuinely confess or falsely confess or actually!",I am also considering Stanley because of all the good that black people have done.
"Yeah, but I meant it this time. First time I was just testing you. Either you were gonna genuinely confess or falsely confess or actually!",His name's li'l Chase.,Confess. I meant it.
And my punishment will be nothing. You wanted me to tell Foreman. Your ability to solve puzzles is the only thing that matters to you. And you're smart enough to know Even you'll lose your edge at some point. You want to make sure someone's there when you do.,"If that were true, why are li'l Chase's li'l cousins scurrying through your apartment's floorboards right now?",What if I told you that over the past few months Amy has secretly been giving you little puzzles to test your intelligence against chimpanzees in her lab?
Get a trainer over here!,Capacity crowd is on its feet.,Make a real gym.
"I had one just like this, except it was Bruins and the Habs. Where did you get it?",distributing copies of the Patient file Birthday present for someone in pediatric oncology. 22-year-old enforcer with hemoptysis.,"Oh, OH! Wow, I love those! Where did you get them?"
He's a hockey player?,"No, he's a superhero.",Good. Do you even like hockey?
He's coughing up blood because he pRobably broke a rib and punctured a lung while breaking someone else's rib and puncturing their lung in the name of sport.,Nice conclusion to which the E.R. already jumped 18 hours ago. he shoots Short Man equals bullied Parkld.,"Yeah, I tried to install it myself, but, uh, you guys have these things so passwordprotected."
"Then he took an elbow to the gut, which caused an esophageal tear.","Chase, CT the Patient.",You did vomit when that boys eye was knocked out in the mle.
"No, I prEvent them. I take the hit so the smaller guys don't have to. I thought you'd appreciate that.",Neighbor's baby again?,"Uh, yeah, but it will be easier to stop."
"I could hear it through earplugs, two pillows, and three sleeping pills.",Hmm.,"Well, I was in my room, I couldnt hear what they were saying."
exasperated What is wrong with you?,"I just said, hmm.",No! I am frustrated because I am a failure at everything and my breath smells like fly.
You're trying to figure out some deeper significance to my having a couple of crappy nights.,Which one of us is analyzing the word hmm here?,"Oh, what a crappy night!"
waves House off Fine. Sorry.,Apology accepted. HowEver!,And the wave is gone.
HowEver! Mm.,It's not the crying that's keeping you awake. The sound of a needy Parkld is stirring your paternal juices.,"No seriously. You should have an MM, theyre really good."
The sound of a needy Parkld at 112 decibels has stirred my inner murderer. Don't mess with me.,Explain the stains on your shirt. You're lactating. The fact that you're the only fruit on your family tree is getting to you.,"You know, between his howling and your blasting everything in sight, its a wonder the whole station doesnt know were here."
"It's not a big deal. So I'll pRobably nEver be a dad. It'sit sucks. I'll lose a little sleep, but",You're not supposed to feel bad when you dodge a bullet. It's like you got survivor's guilt.,"Oh, screw it, Im gonna be a daddy!"
There are actually things in this world that give life Even more meaning than soap operas and monster trucks. And we happen to be missing out on at least one of them.,Remember the falconer?,"Oh, whats the point of everything?"
Remember the falconer? Beth?,You dated two falconers?,"Beth, Beth dies?"
"And! scene. Two perforMances Sunday, dark Mondays?",Just as well.,"So, Saturday night!"
"No, because she doesn't have an agenda.","to Adams Well, that was incredibly unprofessional.","Yes, she gives the people what they want."
Alcoholism. We should search his home and locker room.,Note that the person who wants to search the home didn't sleep in one last night. You have the imprint of a seatbelt buckle in your cheek.,"Oh, youd think a guy like that would have some kind of booze lackey."
I got in a fight with my mother.,She hit you with a seatbelt?,I brought shame to my house.
"That's a good fit, if you ignore the fact that he's a pro athlete who looks like the Incredible Hulk, which means he's gotta be on steroids, which is a better fit.",All we really know for sure is it was his evil job that caused the pRoblems.,"No, ImIm not sure about Hulk, but I like the idea of a name starting with The."
"Yes, I don't like him. Doesn't mean my judgment's affected.",Maybe.,"I dont like him, his giant head, or his beady little eyes."
We have a difference of opinion. That's all.,Absolutely.,We had philosophical differences.
"Scrip for glanciclovir. If his neighbor has mono, could mean he has mono. If he has mono, explains his spleen and hemoptysis. And it's caused by Epstein-Barr virus, which explains his liver. And my moonroof leaks. Thank you.",Why don't we just assume that you're not the dad?,All you said was I had to get rid of things.
Oh! Sand art. I used to love this.,"He's bitter, not mentally handicapped. Who knows what Beth told him about you? At worst, you're a rapist. At best, you're a rapist.","Sand People! Or worse! Come on, lets have a look. Come on."
Maybe she said I was a dead war hero.,"Raised by a lunatic mother and abandoned by his father. Oh, I know! Squirrel handcuffs. You think he's gotten any of those?",You leaked it?
"If you really wanted me to do nothing with this information, then why did you give it to me?","Because you were pining for a kid, and you deserved to know that you already had one.","So, what is this information worth to you, my friend?"
You're assuming he's going to be a nightmare. What if he's a good kid?,He's a kid. Best you can hope for is he's a nightmare.,"Well sure, you name a kid that, what do you expect them to grow up to be?"
"Aside from the guy in the book depository, the Kennedys had a lovely trip to Dallas. Repetitive blows to the head can cause chronic traumatic encephalopathy, symptoms of which are aggressive behavior and depression.",So your theory is that his aggressive behavior caused his aggressive behavior.,Alright I just hit my head.
"If he quits being an enforcer, it could save his life.",You don't want to save his life. joining them You want to kill his career.,I should probably give you a headsup about a couple of things.
I moved into Chase's apartment. Chase looks up. He knows. He was staring at our matParkng cups. I told you we should split up. We're not having sex. With each other!,Yet.,"Hey, stay out of this, Chandler!"
"But an MRI of his brain could rEveal white matter disintegrity, which is the effect of CTE.",Why? Are you trying to sleep with her? 'Cause the simpler technique is just to ask.,Its her I have to worry about.
I was doing something nice.,"Mm, no. Th mm. No, that doesn't fit.",Were just tryin to do a nice thing here.
Three reported concussions. These guys are taught in high school how to dupe the tests.,Guilt?,"Well, lets see."
It's not guilt. Park is a friend.,"So it's guilt. Chase convinced you to leave mommy, and now he feels responsible. No MRI. Do a psych eval. If he doesn't start weeping again, send him home.","No, no, really, Ive got to take the car back anyway, Im spending all day tomorrow with Ben, Its fine, no guilt I promise."
"That's a density. I know you think I'm convincing myself, but this brain has been hammered for years, meaning evidence may be subtle, but it's there.",voice Meaning you see what you want to see.,Balderdash. Matter clearly consists of tiny strings.
Patient's stroking out.,Chase? Can you get me out of Ohh! Hello?,"Hello ja, its time for your massage, ja!"
Chase? Can you get me out of Ohh! Hello?,"The good news is, it's isolated ophthalmoplegia, which means you didn't have a stroke.",Ahh! Ahh! Ahh! Get off! Get off me! Get off me!
And he's been on the road since he was 14.,So he was trash Even before he was trash? You curious about what he wanted?,Hes going to be a lot of fun to drive around in a car with.
"I assume he wanted me off the case, and you told him I was hit in the head as a Parkld, and your mother made you promise to take care of me.",He was doing what he always does sticking up for the little guy.,He went over your head to go behind your back.
MPA can progress quickly. We may not have time before it reaches his lungs.,I think you're right. Thus confirming my objectivity. Start the treatment.,You look like my little cousin when hes dropping one in his diaper.
I think you're right. Thus confirming my objectivity. Start the treatment.,Miserable yet?,"Okay. Well, what I think is going on here is you have a pathological need for closure."
"He's polite, well-adjusted and a straight-A student.",Which means he doesn't need you. So why don't you get out while the butterfly effect is still in the cocoon stage?,"Oh great! Well, tell him thanks. And since uh, Joey seems like such a nice guy, maybe we could go on a date sometime?"
I'm making him dinner.,You don't make an 11-year-old dinner. You give him a jar of peanut butter.,"No, hes picking up dinner, why, whats up?"
"It'll be fine. I could give this kid a quinoa salad, and he would eat it just to be nice.","'Cause he's a gutless plaCater, just like his dad.","No, just a salad will be fine."
"'Cause he's a gutless plaCater, just like his dad. He's nice.",This is a terrible idea.,Because he was a drunk and a fool and I dont trust drunk fools.
Because we like each other?,Yes.,"No, I mean, just cause we like got along so well."
"Lyme disease could cause paralysis. If he was hunting, he'd be exposed to ticks.",No target rash or cardiac involvement. to Chase Roomies with benefits keeping you up?,"Hey. Oh goodgood youre here! All right, I figured it out. Im gonna take two tables of eight, Im gonna add your parents, and Im gonna turn them into three tables of six. Okay? And I called the caterer I added two extra meals, we are good to go!"
Cribbage. I played with Park's Popo.,Is that two separate Events?,"Yeah, we played, we watched TV."
Sensory involvement rules out ALS.,"Okay, yeah.",Ive been told that Im a tactile learner.
"Paralysis has gone from his face to his arms, meaning it's descending, which is the hallmark of botulism.",So it was something he ate.,"If a zombie bites you, you turn into a zombie."
The antitoxin could cause anaphylaxis. We need to test first to confirm.,"As if to prove my point, last time you said there wasn't enough time to test prior to a more dangerous treatment.",I had no idea it was so heavy.
"It's a different situation, different symptom, different diagnosis.",Different emotion. Give him the antitoxin.,"Yes, I know how concerned you are for her safety."
"I could give you crap for making me wait 11 years, but instead I'm going to thank you for not making me wait another 11.",Every little girl wants a pony till they have to clean up after it.,"Joe, I tried to wait until I was 25 like you did!"
You think I'm going to quit on this? On an 11-year-old?,The only relationship you haven't quit on has been with me.,"Yeah, well, you should have quit cause Im still gonna beat your ass."
"Hmm. A needy, truculent narcissist. I think it's been perfect training for parenthood.","stares at him, serious That's not Even close.",I think thats called a mommy.
"He's completely paralyzed, and he tested negative for botulism.",I am now accepting long shots.,"The hallway, Penny comes storming up the stairs to the guys door."
"The test for Prions is a brain biopsy. Given his history, there's got to be brain swelling. We can't risk drilling into his skull.",Pretty sure we can.,"You know, I gotta tell you, I think you got a real winner with Priya."
We also could keep talking until we can find an answer we all can agree on.,"All of us? Those who love him, those who hate him, those who don't give a crap about him or you",I thought maybe we could talk after this is over.
Or I could just discuss it on my own with Foreman.,He's not your friend.,"Thats not a good idea, thats kinda the reason the last guy got fired."
I get it. He's a Patient. I'm not,He nEver had your back. He didn't insist that I apologize to you. He asked me to take you off the case. Taub takes in this information. Biopsy his brain.,"He is saving your butt, ah, unless of course Im stepping on some toes here, in which case I can just mosey on, Ive got plenty of people to help on the Interstate."
"Take me off the case. I've obviously completely lost my objectivity. I'm not helping, I'm not Even neutral.",Agreed. So why shouldn't I take you off all my cases?,You know you dont want me to help.
Because you were right. I hate bullies.,You work for me.,What? I was not a bully.
You're not a bully.,"Pretty sure I am, dickwad.",The only way to defeat a bully is to stand up to him.
"I've known a lot of bullies people who didn't like me because I'm short, people who didn't like me because I'm Jewish","Yeah, I get it. There's a long list of reasons not to like you.",Oh. I dont know. I guess my school was a nice place. We didnt really have bullies.
"You relentlessly mock, but it's not for self-aggrandizement. It's because ideas are bigger than feelings. At least that's what I choose to beliEve. I also thought you had the side effect of desensitizing me.",You little Hebe.,Mockery? Thats all you have to offer?
I just had a light bulb. Maybe.,You can trust light bulbs.,"Oh, please, Monica."
"Stop. It's not prions. Epstein-Barr gave him mono. It also gave him Miller Fisher syndrome. The plasmapheresis played through the whistle. We gave it to him for MPA, but when he got worse, we took him off. When he got better, we thought it was the antitoxin. But it was actually the plasmapheresis still working. We had the right treatment, just the wrong diagnosis.",It was my metaphor that solved the case.,I have no difficulty believing youre not butter.
It was my metaphor that solved the case. Put him back on plasmapheresis. He'll be fine. Nice save. Didn't quite make up for being a siEve the rest of the game.,Ex-girlfriend's baby again?,"Yeah, ya know maybe, he made me get on the ground, and I didnt feel safe in this game."
His mother is moving to Costa Rica. He asked if he could move in with me. mirthless chuckle And I said yes.,"Well, it's only six or sEven years. Unless he can't get into college, in which case, it's more a matter of your life expectancy.","After you talked, he called my mom and said he was gonna look for an apartment."
"I said yes, knowing I'm not remotely ready for that, knowing he's not ready to be separated from his mother. This isn't the act of a mature, rational adult. I-I can't do this, House. You were right.",I have an idea! that can make this entire pRoblem go away.,"No, no. He said When are you gonna grow up and start being a mom?"
"Yes, I really want to hear your clEver late-term abortion joke. You were right about Everything. This is life. It's real. It doesn't just go away.",None of that is true.,That was a celebration of life.
proudly Five commercials and a recurring on Days of Our Lives.,"You were regretting not having kids, so I gave you one! thereby rendering you regret-free. It's a priceless gift.",That infomercial! For the milk carton spout thing! Youreyoureyoure the guy that doesnt know how to pour milk!!
It's a priceless gift. Get out.,"Well, it's not priceless 'cause he charges SAG minimum.","Hey, Kelly, you know what?"
"very angry Get out! Parkllax, Dad.",Can you do an Australian accent?,Get out! Im a dad!
The Woman that I called that was really Beth?,Found her on Facebook.,"No, everything was good and really hot, and I said Oh, Penny, and right where she was supposed to say, Oh, Stuart, she said your name."
How much did she charge?,Nothing. She's still pissed at you.,How much was it?
Nothing. She's still pissed at you.,Pass the bacon.,"Nothing! You have apologized to her like a million times and shes been nothing but terrible to you. And dont forget you just threw her daughter a lovely, albeit slightly boring, shower, and she hasnt even thanked you for it."
I thought you liked prosciutto.,Nobody likes prosciutto.,"Oh, Italian. Nice. Wow! You got the works there. Red onion, provolone..."
He takes of his glasses he is now heavily bleeding out of both eyes. Oh!,"35-year-old male cries blood, and he's not vampire Bill. Go!",You take off your glasses.
Nope! He is the only one to turn around and start reading the file.,"What, her? A red-haired voluptuous Woman holds a cup and walks to House to give it to him.","Mmhmm. So he is mixed up in this, isnt he?"
"What, her? A red-haired voluptuous Woman holds a cup and walks to House to give it to him.","Yeah, my favorite companion is retiring from companning.","From House Tyrell and the people of the Reach, Your Grace, it is my honor to present you with this wedding cup."
How long are you gonna be using the office for sex games? Just so I can plan my day.,Sex and work? I'm not a savage. He takes a sip of what is in the cup. He seems surprised. I asked for a cappuccino.,"On average, how many hours a day do you spend naked in your office?"
That's what this is.,"No, cappuccinos got a nice, stiff foam on it.",That is what the thing is.
"Lymphocytosis? ALC's in normal range, but it's in the high end of normal.","Take a seat, Fawn. And tell me, what's your favorite Woody Allen movie? The team stares at House and the Woman.",Im sorry. What can I do?
You're interviewing hookers but not gonna talk to them about sex?,Sex is a given. They're hookers. He takes notes. Defend your choice.,Are you having the sex talk with me?
Could also be cavernous sinus thrombosis. Clot builds up pressure at the base of the brain.,Rerun the Patient's blood panel and get a CT venogram of his head.,"Good thinking, Ill just be the muscle."
I'll break your face.,This is the talent portion of the interview.,You broke my nose!
Okay. You like cards. But you can juggle. I fail to see how this would be of benefit to you.,What if I'm busy? He turns to the hooker behind him. Have you got anything else?,"Hey, the circus arts are very physically and mentally demanding."
CT showed no clots or malformations. Park and Taub ruled out lymphocytosis and diabetes.,"Well, since you have nothing of relevance to report, I assume that you're here to toss your panties in the ring.",No. But she did give us some ideas on how to induce labor.
I think he's a junkie. The girlfriend is a fix. The guy's inhaling glue.,Can you repair a blender?,that is so wrong and on top of that his a glue sniffer.
"This one works in financial district. She can get tips, give you leg up in market. What is fudgey Gonzalez?","Uh, imagine a vanilla Gonzalez, but from the other side.","Yeah, yeah, she works over at that place, uh."
"Uh, imagine a vanilla Gonzalez, but from the other side.","I'm about to make a decision, but there's still time for you to sneak under the wire.","Oh. So you chose that when you become turned on, you turn into Speedy Gonzalez?"
You don't have sex with your cat or Teddy bear.,"If you did, you'd pRobably talk to them more. Guy loves an imaginary being who's nEver going to respond to him. He's no crazier than millions of churchgoers.","Hi Holly its Michael, I just wanted to call and let you know that I was thinking about what you said."
"He hangs out with a doll, he nEver needs to fear rejection. It's sad.",You do understand the irony here? Every person in this room has a sex doll. At least the Patient has the stones to be honest about it.,"Hey, I dont know what to tell you guys thats the doll he chose."
"Ooh, a metaphor. What you didn't foresee is that is that I actually do have a sex doll.","Your doll is your kids. Yours is your parents, yours is your charity. All excuses for not being in a relationship.",Toys? I do have a model rocket next to my bed.
My dating is getting in the way of my dating?,You don't go looking for the right person.,Am I a matchmaker or what?
"You don't go looking for the right person. You just shack up with whoEver's in the room, and then you get surprised and/or divorced when it doesn't work out. I'm surprised you haven't asked Adams out yet.",You'll bail.,I was just waiting for the perfect guy.
He's right. The obvious solution is for me to hand my kids over to your parents.,Can we stop trying to argue the premise and move onto figuring out why it is that you're all social morons?,"Sorry. Oh, no, my grown son is going to stop spending all my money. Where did I fail as a father?"
